Date,Close,High,Low,Open,Volume
9/26/2023,412.8001404,416.6191353,411.9665378,415.9115448,96168400
9/27/2023,412.9649658,414.5352366,409.3204646,413.9730332,104705800
9/28/2023,415.3590393,417.0359172,411.8211461,412.4124268,92258300
9/29/2023,414.3510437,418.5868255,412.8292552,418.4123608,115111300
10/2/2023,414.1862488,415.436638,411.4237734,413.517438,83798600
10/3/2023,408.6419067,414.2443872,407.2752078,412.0053355,103760600
10/4/2023,411.6176758,412.3640166,407.6435907,409.1072244,87453000
10/5/2023,411.4625854,412.3058609,408.2348708,411.326871,70142700
10/6/2023,416.3478394,417.8890032,407.6824051,409.0103245,113273300
10/9/2023,419.0133362,419.5852123,413.8954989,414.4479704,80374400
10/10/2023,421.1942139,423.7918974,419.2459365,419.6433479,78607300
10/11/2023,422.9195251,423.1715198,419.8759482,422.2604168,62451700
10/12/2023,420.3411865,423.9081571,417.9858252,423.5301504,81154200
10/13/2023,418.2475891,423.0455744,416.677348,421.8436377,95143100
10/16/2023,422.6481323,423.7143545,420.253991,420.4963129,75433200
10/17/2023,422.6287537,424.6836681,419.1684195,419.5173489,75324700
10/18/2023,416.9971924,421.8145527,415.911595,420.8549675,93559800
10/19/2023,413.3332825,419.5270441,412.6547989,417.7144811,121323000
10/20/2023,408.2542114,413.4399056,408.1475744,412.8971069,123919900
10/23/2023,407.5466003,411.4140775,404.9682921,406.7227001,92035100
10/24/2023,410.6192627,411.7727172,407.8180077,409.6693503,78564200
10/25/2023,404.7259827,408.9617939,404.2122615,408.9327164,94223200
10/26/2023,399.8795776,404.5127711,398.9587722,403.6598228,115156800
10/27/2023,398.0670166,401.8666369,396.6421627,401.4692255,107367700
10/30/2023,402.8262024,403.8827223,399.5597081,400.8585499,86562700
10/31/2023,405.3561096,405.6759615,401.4886318,403.3981296,79665200
11/1/2023,409.6790466,410.4932446,405.7921944,406.3253203,98068100
11/2/2023,417.530304,417.6853935,413.4592845,413.4786596,94938900
11/3/2023,421.3396301,422.8904962,419.7112341,419.8372462,100167800
11/6/2023,422.3088379,422.7547018,420.3605607,422.0955935,67831700
11/7/2023,423.5107727,424.150506,421.1651136,422.3088657,64256100
11/8/2023,423.8209839,424.6351819,421.5140748,424.1117583,61746000
11/9/2023,420.5157471,425.0035536,420.0892581,424.9647738,83174400
11/10/2023,427.0777283,427.3879074,420.5059606,422.5899522,89462200
11/13/2023,426.6706238,427.775596,424.9549957,425.7401162,52236100
11/14/2023,434.9484253,436.2375648,432.3894919,432.6124387,97176900
11/15/2023,435.8692017,437.5170023,435.0162239,436.2859882,77327600
11/16/2023,436.4023132,436.7221651,434.3571013,435.4233234,66665800
11/17/2023,436.9451294,437.5557853,435.4911981,436.4120035,83133200
