timestamp_utc,participant_id,group,scenario_id,trial_index,condition,signal_shown,confidence_shown,decision,confidence_rating,response_time_seconds,group_sess,session_status,is_complete,aligned,confidence_rating_norm,calibration_error,log_rt
2026-08-10 11:55:34.721887,48,group_2,2022-09-27 11:00:00-04:00,0,explained,up,0.9032,hold,2,56.071,group_2,completed,True,0,0.3333333333333333,0.5698666666666667,4.0266187448258375
2026-08-10 11:55:40.326304,49,group_1,2026-02-17 13:05:00-05:00,9,explained,up,0.3797,sell,3,6.873,group_1,completed,True,0,0.6666666666666666,0.28696666666666665,1.9276006921394682
2026-08-10 11:55:46.793963,49,group_1,2022-09-27 11:00:00-04:00,10,unexplained,up,0.9032,buy,3,6.139,group_1,completed,True,1,0.6666666666666666,0.23653333333333337,1.8146618624453594
2026-08-10 11:55:54.558688,48,group_2,2022-11-14 12:55:00-05:00,1,explained,down,0.4507,buy,3,19.565,group_2,completed,True,0,0.6666666666666666,0.21596666666666664,2.973742255662376
2026-08-10 11:56:06.470065,48,group_2,2023-04-20 09:50:00-04:00,2,explained,flat,0.4116,hold,3,11.61,group_2,completed,True,1,0.6666666666666666,0.2550666666666666,2.4518667957098
2026-08-10 11:56:08.537569,49,group_1,2022-11-14 12:55:00-05:00,11,unexplained,down,0.4507,buy,3,21.5,group_1,completed,True,0,0.6666666666666666,0.21596666666666664,3.068052935133617
2026-08-10 11:56:16.227143,49,group_1,2023-04-20 09:50:00-04:00,12,unexplained,flat,0.4116,hold,3,7.406,group_1,completed,True,1,0.6666666666666666,0.2550666666666666,2.002290482491421
2026-08-10 11:56:23.055733,49,group_1,2023-12-01 14:55:00-05:00,13,unexplained,down,0.6042,sell,3,6.559,group_1,completed,True,1,0.6666666666666666,0.06246666666666667,1.8808381523115985
2026-08-10 11:56:26.665937,49,group_1,2024-04-26 11:30:00-04:00,14,unexplained,flat,0.4042,sell,3,3.326,group_1,completed,True,0,0.6666666666666666,0.2624666666666666,1.201770380770736
2026-08-10 11:56:27.905876,48,group_2,2023-12-01 14:55:00-05:00,3,explained,down,0.6042,buy,3,21.13,group_2,completed,True,0,0.6666666666666666,0.06246666666666667,3.0506938316279655
2026-08-10 11:56:31.011896,49,group_1,2024-09-26 09:40:00-04:00,15,unexplained,down,0.7008,buy,3,4.092,group_1,completed,True,0,0.6666666666666666,0.03413333333333335,1.40903384808938
2026-08-10 11:56:33.818942,49,group_1,2025-05-21 14:40:00-04:00,16,unexplained,up,0.3529,hold,3,2.535,group_1,completed,True,0,0.6666666666666666,0.31376666666666664,0.9301936370431465
2026-08-10 11:56:35.440115,48,group_2,2024-04-26 11:30:00-04:00,4,explained,flat,0.4042,hold,5,7.227,group_2,completed,True,1,1.3333333333333333,0.9291333333333333,1.9778240123008441
2026-08-10 11:56:36.068310,49,group_1,2025-12-12 11:50:00-05:00,17,unexplained,down,0.4241,hold,3,1.952,group_1,completed,True,0,0.6666666666666666,0.24256666666666665,0.6688544879909007
2026-08-10 11:56:42.485727,49,group_1,2025-12-22 11:45:00-05:00,18,unexplained,flat,0.8806,hold,4,5.718,group_1,completed,True,1,1.0,0.11939999999999995,1.7436190939001202
2026-08-10 11:56:45.713636,48,group_2,2024-09-26 09:40:00-04:00,5,explained,down,0.7008,buy,4,9.986,group_2,completed,True,0,1.0,0.2992,2.3011841120784178
2026-08-10 11:56:48.442746,49,group_1,2026-06-24 14:40:00-04:00,19,unexplained,down,0.6079,sell,2,5.696,group_1,completed,True,1,0.3333333333333333,0.2745666666666667,1.7397641741096745
2026-08-10 11:56:52.879428,48,group_2,2025-05-21 14:40:00-04:00,6,explained,up,0.3529,sell,4,6.87,group_2,completed,True,0,1.0,0.6471,1.927164106234258
2026-08-10 11:57:03.439159,48,group_2,2025-12-12 11:50:00-05:00,7,explained,down,0.4241,buy,5,10.234,group_2,completed,True,0,1.3333333333333333,0.9092333333333333,2.3257155103829
2026-08-10 11:57:08.939272,48,group_2,2025-12-22 11:45:00-05:00,8,explained,flat,0.8806,hold,4,5.224,group_2,completed,True,1,1.0,0.11939999999999995,1.65326339197413
2026-08-10 11:57:23.357512,48,group_2,2026-06-24 14:40:00-04:00,9,explained,down,0.6079,hold,2,14.151,group_2,completed,True,0,0.3333333333333333,0.2745666666666667,2.6497852929702344
2026-08-10 11:57:33.219927,48,group_2,2022-09-06 11:45:00-04:00,10,unexplained,up,0.818,sell,3,9.503,group_2,completed,True,0,0.6666666666666666,0.15133333333333332,2.251607538229178
2026-08-10 11:57:46.254911,48,group_2,2022-11-07 13:25:00-05:00,11,unexplained,up,0.4333,hold,1,12.735,group_2,completed,True,0,0.0,0.4333,2.54435410843142
2026-08-10 11:58:00.683792,48,group_2,2023-03-20 09:30:00-04:00,12,unexplained,up,0.5718,sell,1,14.146,group_2,completed,True,0,0.0,0.5718,2.6494318986137984
2026-08-10 11:58:07.774768,48,group_2,2023-10-20 14:40:00-04:00,13,unexplained,flat,0.3523,hold,5,6.826,group_2,completed,True,1,1.3333333333333333,0.9810333333333332,1.9207388504845153
2026-08-10 11:58:17.562680,48,group_2,2023-12-26 13:45:00-05:00,14,unexplained,flat,0.8882,sell,2,9.51,group_2,completed,True,0,0.3333333333333333,0.5548666666666666,2.252343876557299
2026-08-10 11:58:29.170603,48,group_2,2024-07-08 11:20:00-04:00,15,unexplained,flat,0.8107,hold,3,11.297,group_2,completed,True,1,0.6666666666666666,0.14403333333333335,2.4245372037447916
2026-08-10 11:58:37.788800,48,group_2,2025-03-28 12:45:00-04:00,16,unexplained,down,0.4593,buy,4,8.357,group_2,completed,True,0,1.0,0.5407,2.123099511019299
2026-08-10 11:59:30.880106,48,group_2,2025-07-18 10:35:00-04:00,17,unexplained,flat,0.7856,hold,2,52.798,group_2,completed,True,1,0.3333333333333333,0.45226666666666665,3.9664733112069177
2026-08-10 11:59:39.555340,48,group_2,2025-12-18 13:05:00-05:00,18,unexplained,up,0.3841,sell,2,8.374,group_2,completed,True,0,0.3333333333333333,0.05076666666666668,2.1251316675969516
2026-08-10 11:59:45.623441,48,group_2,2026-02-17 13:05:00-05:00,19,unexplained,up,0.3797,sell,2,5.776,group_2,completed,True,0,0.3333333333333333,0.04636666666666667,1.753711401590525
2026-08-10 16:33:41.333763,21,group_1,2022-09-06 11:45:00-04:00,0,explained,up,0.818,buy,3,84.695,group_1,completed,True,1,0.6666666666666666,0.15133333333333332,4.439056568038345
2026-08-10 16:34:02.073610,21,group_1,2022-11-07 13:25:00-05:00,1,explained,up,0.4333,hold,3,20.395,group_1,completed,True,0,0.6666666666666666,0.2333666666666666,3.015289772769522
2026-08-10 16:34:20.401971,21,group_1,2023-03-20 09:30:00-04:00,2,explained,up,0.5718,buy,3,18.004,group_1,completed,True,1,0.6666666666666666,0.09486666666666665,2.8905939554306865
2026-08-10 16:34:33.719826,21,group_1,2023-10-20 14:40:00-04:00,3,explained,flat,0.3523,sell,3,12.975,group_1,completed,True,0,0.6666666666666666,0.3143666666666666,2.563024429051952
2026-08-10 16:34:53.131569,21,group_1,2023-12-26 13:45:00-05:00,4,explained,flat,0.8882,buy,3,19.09,group_1,completed,True,0,0.6666666666666666,0.22153333333333336,2.949164637737656
2026-08-10 16:35:01.387121,21,group_1,2024-07-08 11:20:00-04:00,5,explained,flat,0.8107,hold,3,7.981,group_1,completed,True,1,0.6666666666666666,0.14403333333333335,2.0770637168938717
2026-08-10 16:35:14.495122,21,group_1,2025-03-28 12:45:00-04:00,6,explained,down,0.4593,buy,3,12.796,group_1,completed,True,0,0.6666666666666666,0.20736666666666664,2.5491326220872716
2026-08-10 16:35:25.061571,21,group_1,2025-07-18 10:35:00-04:00,7,explained,flat,0.7856,buy,3,10.276,group_1,completed,True,0,0.6666666666666666,0.11893333333333334,2.329811079247637
2026-08-10 16:35:29.664577,21,group_1,2025-12-18 13:05:00-05:00,8,explained,up,0.3841,buy,3,4.318,group_1,completed,True,1,0.6666666666666666,0.28256666666666663,1.4627923320926155
